EventID,EventType,StartDateTime,EndDateTime,EnteredOn,EventAgency,ParkingHeld,Borough,CommunityBoard(s),PolicePrecinct(s),Category,SubCategoryName,Country,ZipCode(s)
493400,Shooting Permit,06/26/2019 06:30:00 AM,06/26/2019 10:30:00 PM,06/20/2019 12:25:27 PM,"Mayor's Office of Film, Theatre & Broadcasting","HENDRICKSON STREET between FLATLANDS AVENUE and AVENUE P,  FLATLANDS AVENUE between FLATBUSH AVENUE and HENDRICKSON STREET,  FLATBUSH AVENUE between KINGS HIGHWAY and QUENTIN ROAD,  LOTT PLACE between FLATBUSH AVENUE and HARDEN STREET,  AVENUE M between FLATBUSH AVENUE and HARDEN STREET,  BAUGHMAN PLACE between FLATBUSH AVENUE and TROY AVENUE,  AVENUE P between FLATBUSH AVENUE and HENDRICKSON STREET",Brooklyn,18,63,Film,Feature,United States of America,11234
494216,Shooting Permit,06/26/2019 07:00:00 AM,06/26/2019 10:00:00 PM,06/25/2019 09:51:29 AM,"Mayor's Office of Film, Theatre & Broadcasting","AUDUBON AVENUE between WEST  174 STREET and WEST  176 STREET,  WEST  175 STREET between ST NICHOLAS AVENUE and AMSTERDAM AVENUE,  WEST  174 STREET between AUDUBON AVENUE and AMSTERDAM AVENUE,  WEST  174 STREET between ST NICHOLAS AVENUE and AUDUBON AVENUE,  WEST  174 STREET between AUDUBON AVENUE and AMSTERDAM AVENUE,  WEST  176 STREET between ST NICHOLAS AVENUE and AUDUBON AVENUE,  WEST  176 STREET between AUDUBON AVENUE and AMSTERDAM AVENUE,  ST NICHOLAS AVENUE between WEST  173 STREET and WEST  174 STREET,  ST NICHOLAS AVENUE between WEST  174 STREET and WEST  175 STREET,  ST NICHOLAS AVENUE between WEST  175 STREET and WEST  176 STREET,  WADSWORTH AVENUE between WEST  174 STREET and WEST  175 STREET,  ST NICHOLAS AVENUE between WEST  178 STREET and WEST  179 STREET,  ST NICHOLAS AVENUE between WEST  179 STREET and WEST  180 STREET,  ST NICHOLAS AVENUE between WEST  179 STREET and WEST  180 STREET,  WEST  179 STREET between ST NICHOLAS AVENUE and AUDUBON AVENUE",Manhattan,12,"33, 34",Film,Feature,United States of America,10033
493251,Shooting Permit,06/26/2019 07:00:00 AM,06/26/2019 09:00:00 PM,06/19/2019 03:50:42 PM,"Mayor's Office of Film, Theatre & Broadcasting","NORTH    8 STREET between WYTHE AVENUE and BERRY STREET,  NORTH    7 STREET between WYTHE AVENUE and BERRY STREET,  NORTH    5 STREET between KENT AVENUE and DEAD END,  KENT AVENUE between NORTH    4 STREET and NORTH    5 STREET,  BEDFORD AVENUE between NORTH   12 STREET and LORIMER STREET",Brooklyn,1,94,Television,Cable-episodic,United States of America,"11222, 11249"
493678,Shooting Permit,06/26/2019 07:00:00 AM,06/26/2019 08:00:00 PM,06/21/2019 02:31:45 PM,"Mayor's Office of Film, Theatre & Broadcasting","6 AVENUE between WEST   58 STREET and CENTRAL PARK SOUTH,  6 AVENUE between WEST   57 STREET and WEST   58 STREET",Manhattan,"5, 64","18, 22",Still Photography,Not Applicable,United States of America,"10019, 10023"
494009,Shooting Permit,06/26/2019 07:00:00 AM,06/26/2019 11:00:00 PM,06/24/2019 12:16:51 PM,"Mayor's Office of Film, Theatre & Broadcasting","EAST  140 STREET between LOCUST AVENUE and WALNUT AVENUE,  WALNUT AVENUE between EAST  139 STREET and EAST  140 STREET,  EAST  139 STREET between WALNUT AVENUE and LOCUST AVENUE",Bronx,1,40,Television,Episodic series,United States of America,10454
491105,Theater Load in and Load Outs,06/26/2019 07:00:00 AM,06/26/2019 07:00:00 PM,06/10/2019 02:57:17 PM,"Mayor's Office of Film, Theatre & Broadcasting",ASHLAND PLACE between LAFAYETTE AVENUE and HANSON PLACE,Brooklyn,2,88,Theater,Theater,United States of America,11217
493562,Shooting Permit,06/26/2019 08:00:00 AM,06/26/2019 11:00:00 PM,06/21/2019 07:26:31 AM,"Mayor's Office of Film, Theatre & Broadcasting","DELANCEY STREET between BOWERY and FORSYTHE STREET,  KENMARE STREET between ELIZABETH STREET and MOTT STREET,  DELANCEY STREET between FORSYTH STREET and ELDRIDGE STREET,  FORSYTH STREET between DELANCEY STREET and GRAND STREET,  BROOME STREET between FORSYTHE STREET and ELDRIDGE STREET",Manhattan,"2, 3",5,Film,Feature,Canada,"10002, 10012"
494288,Shooting Permit,06/26/2019 08:00:00 AM,06/26/2019 09:00:00 PM,06/25/2019 01:14:12 PM,"Mayor's Office of Film, Theatre & Broadcasting",DEBROSSES STREET between GREENWICH STREET and HUDSON STREET,Manhattan,"1, 3","1, 5",Still Photography,Not Applicable,United States of America,"10002, 10013"
494230,Shooting Permit,06/26/2019 08:00:00 AM,06/26/2019 11:00:00 PM,06/25/2019 10:44:55 AM,"Mayor's Office of Film, Theatre & Broadcasting","HENDRICKSON STREET between FLATLANDS AVENUE and AVENUE P,  FLATLANDS AVENUE between FLATBUSH AVENUE and HENDRICKSON STREET,  FLATLANDS AVENUE between HENDRICKSON STREET and COLEMAN STREET,  FLATBUSH AVENUE between FLATLANDS AVENUE and TROY AVENUE,  FLATBUSH AVENUE between LOTT PLACE and TROY AVENUE,  LOTT PLACE between FLATBUSH AVENUE and HARDEN STREET,  AVENUE M between FLATBUSH AVENUE and HARDEN STREET,  BAUGHMAN PLACE between FLATBUSH AVENUE and TROY AVENUE,  AVENUE P between FLATBUSH AVENUE and HENDRICKSON STREET",Brooklyn,18,63,Film,Feature,United States of America,11234
494306,Shooting Permit,06/26/2019 10:00:00 AM,06/26/2019 11:00:00 PM,06/25/2019 02:20:43 PM,"Mayor's Office of Film, Theatre & Broadcasting","STARR AVENUE between VAN DAM STREET and BORDEN AVENUE,  REVIEW AVENUE between 35 STREET and BORDEN AVENUE",Queens,2,108,Television,Cable-other,United States of America,11101
493336,Theater Load in and Load Outs,06/26/2019 10:00:00 AM,06/26/2019 03:00:00 PM,06/20/2019 05:50:38 AM,"Mayor's Office of Film, Theatre & Broadcasting",WEST   67 STREET between CENTRAL PARK WEST and COLUMBUS AVENUE,Manhattan,7,20,Television,Morning Show,United States of America,10023
493726,Shooting Permit,06/26/2019 10:30:00 AM,06/27/2019 03:00:00 AM,06/21/2019 04:02:09 PM,"Mayor's Office of Film, Theatre & Broadcasting","CANAL STREET between WATER STREET and BROAD STREET,  FAIRWAY AVENUE between PARK HILL LANE and OSGOOD AVENUE,  FAIRWAY AVENUE between KIMBERLY LANE and PARK HILL LANE,  PARK HILL LANE between PARK HILL CIRCLE and FAIRWAY AVENUE,  OSGOOD AVENUE between FAIRWAY AVENUE and PARK HILL CIRCLE,  OSGOOD AVENUE between PARK HILL AVENUE and FAIRWAY AVENUE",Staten Island,"1, 3","120, 123",Television,Episodic series,United States of America,"10304, 10309"
494087,Shooting Permit,06/26/2019 11:00:00 AM,06/27/2019 03:00:00 AM,06/24/2019 03:41:36 PM,"Mayor's Office of Film, Theatre & Broadcasting","WEST   27 STREET between 11 AVENUE and 10 AVENUE,  WEST   28 STREET between 11 AVENUE and 10 AVENUE,  11 AVENUE between WEST   29 STREET and WEST   25 STREET,  11 AVENUE between WEST   28 STREET and WEST   27 STREET,  WEST   27 STREET between 11 AVENUE and 12 AVENUE",Manhattan,4,10,Television,Cable-episodic,United States of America,10001
493959,Shooting Permit,06/26/2019 12:00:00 PM,06/27/2019 03:00:00 AM,06/24/2019 10:03:12 AM,"Mayor's Office of Film, Theatre & Broadcasting","GARNET STREET between SMITH STREET and COURT STREET,  SMITH STREET between GARNET STREET and WEST    9 STREET,  SMITH STREET between HUNTINGTON STREET and LUQUER STREET,  SMITH STREET between LUQUER STREET and 5 STREET,  NELSON STREET between COURT STREET and SMITH STREET,  DENNETT PLACE between NELSON STREET and LUQUER STREET,  LUQUER STREET between SMITH STREET and COURT STREET,  UNION STREET between BOND STREET and NEVINS STREET,  BOND STREET between UNION STREET and DEGRAW STREET,  5 STREET between HOYT STREET and SMITH STREET",Brooklyn,6,76,Film,Feature,United States of America,"11217, 11231"
