Date of Census,Total Adults in Shelter,Total Children in Shelter,Total Individuals in Shelter,Single Adult Men in Shelter,Single Adult Women in Shelter,Total Single Adults in Shelter,Families with Children in Shelter,Adults in Families with Children in Shelter,Children in Families with Children in Shelter,Total Individuals in Families with Children in Shelter ,Adult Families in Shelter,Individuals in Adult Families in Shelter
01/02/2017,36713,23343,60056,9804,3777,13581,12971,17834,23343,41177,2527,5298
01/03/2017,36710,23312,60022,9825,3769,13594,12956,17816,23312,41128,2528,5300
01/04/2017,36733,23308,60041,9850,3787,13637,12951,17804,23308,41112,2523,5292
01/05/2017,36785,23365,60150,9873,3785,13658,12992,17847,23365,41212,2516,5280
01/06/2017,36705,23386,60091,9807,3767,13574,12990,17837,23386,41223,2523,5294
01/07/2017,36764,23451,60215,9810,3783,13593,13013,17870,23451,41321,2526,5301
01/08/2017,36811,23438,60249,9855,3780,13635,13017,17879,23438,41317,2524,5297
01/09/2017,36889,23484,60373,9868,3805,13673,13040,17910,23484,41394,2529,5306
01/10/2017,36821,23416,60237,9859,3813,13672,12998,17848,23416,41264,2526,5301
01/11/2017,36805,23443,60248,9818,3796,13614,13017,17881,23443,41324,2531,5310
01/12/2017,36773,23471,60244,9790,3782,13572,13021,17883,23471,41354,2535,5318
01/13/2017,36760,23499,60259,9797,3774,13571,13033,17901,23499,41400,2521,5288
01/14/2017,36734,23464,60198,9792,3773,13565,13017,17884,23464,41348,2519,5285
01/15/2017,36746,23442,60188,9817,3786,13603,13010,17857,23442,41299,2520,5286
01/16/2017,36684,23431,60115,9860,3685,13545,13008,17852,23431,41283,2520,5287
01/17/2017,36843,23463,60306,9856,3804,13660,13024,17886,23463,41349,2526,5297
01/19/2017,36820,23455,60275,9876,3793,13669,13000,17853,23455,41308,2527,5298
01/20/2017,36783,23457,60240,9875,3767,13642,13016,17873,23457,41330,2511,5268
01/21/2017,36814,23412,60226,9907,3778,13685,13000,17848,23412,41260,2516,5281
01/26/2017,36949,23475,60424,9969,3795,13764,13056,17927,23475,41402,2506,5258
01/27/2017,36862,23472,60334,9919,3800,13719,13037,17895,23472,41367,2501,5248
01/28/2017,36814,23432,60246,9885,3810,13695,13013,17866,23432,41298,2502,5253
01/29/2017,36894,23415,60309,9918,3824,13742,13013,17874,23415,41289,2514,5278
01/30/2017,36964,23439,60403,9942,3833,13775,13033,17898,23439,41337,2520,5291
01/31/2017,36897,23424,60321,9913,3827,13740,13021,17887,23424,41311,2509,5270
02/01/2017,36829,23354,60183,9918,3794,13712,12997,17851,23354,41205,2509,5266
02/02/2017,36794,23315,60109,9915,3791,13706,12981,17820,23315,41135,2511,5268
02/03/2017,36755,23318,60073,9886,3797,13683,12980,17831,23318,41149,2497,5241
02/04/2017,36760,23352,60112,9895,3784,13679,12985,17846,23352,41198,2494,5235
02/05/2017,36842,23387,60229,9937,3801,13738,13001,17868,23387,41255,2494,5236
02/06/2017,36931,23399,60330,9966,3833,13799,13000,17880,23399,41279,2499,5252
02/07/2017,36853,23326,60179,9936,3847,13783,12959,17828,23326,41154,2495,5242
02/08/2017,36865,23333,60198,9944,3845,13789,12953,17817,23333,41150,2502,5259
02/09/2017,36959,23352,60311,9978,3849,13827,12978,17849,23352,41201,2514,5283
02/10/2017,36875,23323,60198,9955,3824,13779,12955,17822,23323,41145,2510,5274
02/11/2017,36788,23288,60076,9918,3835,13753,12934,17784,23288,41072,2498,5251
02/12/2017,36844,23267,60111,9972,3858,13830,12915,17753,23267,41020,2503,5261
02/13/2017,36790,23307,60097,9979,3754,13733,12939,17785,23307,41092,2508,5272
02/14/2017,36875,23280,60155,10003,3853,13856,12922,17761,23280,41041,2502,5258
02/15/2017,36859,23267,60126,10016,3845,13861,12909,17730,23267,40997,2507,5268
02/16/2017,36841,23264,60105,10024,3830,13854,12918,17735,23264,40999,2500,5252
02/17/2017,36794,23239,60033,9999,3821,13820,12918,17731,23239,40970,2496,5243
02/18/2017,36734,23242,59976,9949,3826,13775,12918,17730,23242,40972,2489,5229
02/19/2017,36756,23210,59966,9996,3820,13816,12908,17723,23210,40933,2483,5217
02/20/2017,36830,23218,60048,10012,3833,13845,12913,17731,23218,40949,2500,5254
02/21/2017,36843,23218,60061,10038,3820,13858,12897,17724,23218,40942,2503,5261
02/22/2017,36802,23170,59972,10031,3833,13864,12867,17677,23170,40847,2504,5261
02/23/2017,36773,23182,59955,10021,3810,13831,12881,17680,23182,40862,2503,5262
02/24/2017,36690,23153,59843,9951,3796,13747,12876,17676,23153,40829,2505,5267
02/25/2017,36705,23161,59866,9963,3794,13757,12885,17688,23161,40849,2501,5260
02/26/2017,36781,23163,59944,10029,3817,13846,12882,17677,23163,40840,2500,5258
02/27/2017,36796,23201,59997,10036,3815,13851,12885,17684,23201,40885,2501,5261
02/28/2017,36764,23145,59909,10042,3826,13868,12858,17647,23145,40792,2495,5249
03/01/2017,36673,23157,59830,9970,3793,13763,12863,17650,23157,40807,2501,5260
03/02/2017,36693,23101,59794,10000,3796,13796,12837,17621,23101,40722,2508,5276
03/03/2017,36674,23083,59757,9985,3803,13788,12826,17615,23083,40698,2506,5271
03/04/2017,36659,23079,59738,9984,3813,13797,12823,17605,23079,40684,2500,5257
03/05/2017,36686,23072,59758,10004,3817,13821,12818,17602,23072,40674,2503,5263
03/06/2017,36793,23117,59910,10057,3829,13886,12849,17637,23117,40754,2509,5270
03/07/2017,36738,23104,59842,10075,3825,13900,12842,17610,23104,40714,2488,5228
03/08/2017,36694,23041,59735,10056,3825,13881,12832,17584,23041,40625,2487,5229
03/09/2017,36740,23053,59793,10044,3833,13877,12843,17626,23053,40679,2492,5237
03/10/2017,36636,22961,59597,10031,3814,13845,12800,17551,22961,40512,2493,5240
03/11/2017,36632,22998,59630,10008,3804,13812,12822,17585,22998,40583,2491,5235
03/12/2017,36588,22994,59582,10050,3696,13746,12821,17586,22994,40580,2500,5256
03/13/2017,36819,23032,59851,10083,3836,13919,12830,17603,23032,40635,2520,5297
03/14/2017,36848,23012,59860,10085,3863,13948,12815,17591,23012,40603,2526,5309
03/15/2017,36864,22966,59830,10152,3869,14021,12788,17553,22966,40519,2517,5290
03/16/2017,36787,22973,59760,10107,3859,13966,12784,17548,22973,40521,2509,5273
03/17/2017,36714,22972,59686,10069,3844,13913,12788,17549,22972,40521,2500,5252
03/18/2017,36605,22859,59464,10073,3838,13911,12737,17469,22859,40328,2487,5225
03/19/2017,36614,22875,59489,10086,3838,13924,12739,17464,22875,40339,2488,5226
03/20/2017,36661,22876,59537,10089,3841,13930,12742,17476,22876,40352,2500,5255
03/21/2017,36584,22790,59374,10088,3847,13935,12694,17411,22790,40201,2494,5238
03/22/2017,36590,22787,59377,10110,3842,13952,12690,17396,22787,40183,2495,5242
03/23/2017,36590,22814,59404,10101,3837,13938,12706,17423,22814,40237,2490,5229
03/24/2017,36527,22754,59281,10079,3821,13900,12674,17381,22754,40135,2498,5246
03/25/2017,36449,22709,59158,10034,3816,13850,12654,17347,22709,40056,2501,5252
03/26/2017,36516,22728,59244,10068,3829,13897,12662,17349,22728,40077,2507,5270
03/27/2017,36594,22761,59355,10097,3840,13937,12684,17387,22761,40148,2507,5270
03/28/2017,36552,22701,59253,10095,3846,13941,12657,17353,22701,40054,2502,5258
03/29/2017,36521,22723,59244,10067,3820,13887,12668,17364,22723,40087,2507,5270
03/30/2017,36517,22723,59240,10083,3808,13891,12669,17356,22723,40079,2506,5270
03/31/2017,36393,22649,59042,10046,3774,13820,12631,17303,22649,39952,2507,5270
04/01/2017,36234,22540,58774,10012,3782,13794,12571,17198,22540,39738,2495,5242
04/02/2017,36232,22561,58793,9980,3790,13770,12584,17216,22561,39777,2496,5246
04/03/2017,36392,22591,58983,10112,3801,13913,12605,17250,22591,39841,2487,5229
04/04/2017,36392,22571,58963,10090,3798,13888,12594,17237,22571,39808,2505,5267
04/05/2017,36408,22557,58965,10099,3815,13914,12585,17214,22557,39771,2512,5280
04/06/2017,36397,22484,58881,10134,3825,13959,12552,17175,22484,39659,2501,5263
04/07/2017,36348,22455,58803,10120,3805,13925,12542,17162,22455,39617,2500,5261
04/08/2017,36325,22465,58790,10108,3800,13908,12541,17163,22465,39628,2497,5254
04/09/2017,36378,22494,58872,10119,3820,13939,12553,17186,22494,39680,2495,5253
04/10/2017,36412,22506,58918,10122,3813,13935,12557,17197,22506,39703,2508,5280
04/11/2017,36388,22481,58869,10110,3808,13918,12560,17215,22481,39696,2496,5255
04/12/2017,36354,22439,58793,10102,3823,13925,12529,17164,22439,39603,2501,5265
04/18/2017,36466,22369,58835,10195,3825,14020,12478,17121,22369,39490,2529,5325
04/19/2017,36533,22388,58921,10218,3842,14060,12497,17140,22388,39528,2533,5333
